ID,Tipo,SKU padre,sku ,Nombre,Publicado (0/1),¿Está destacado? (0/1),Visibilidad en el catálogo,Descripción corta (Instrucciones de cuidado),Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario (cantidad),Inventario (cantidad),Inventario (cantidad),Peso (kg),Medidas (cm), (cm), (cm),Precio rebajado,Precio normal,Categorías (Colecciones),Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/14B2NVN6TtdWEzAId9Mxd6McPUAhUqZ-o,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Nombre del atributo 2,Valor(es) del atributo color,Atributo visible talla,Atributo global talla,Atributo por defecto talla
610185,variable,,,BLUSA ANUDADA,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Blusa con corte recto, cuello en V, manga larga con puños abotonados y bajo asimétrico para anudar ó cruzar hacia espalda. Cierre mediante botonadura frontal. Botones en cristal Swarovski.",taxable,parent,1,(color blanco),(color palo de rosa),,0.20,,,,-,355000,Tékapo,,Envío Growbeats,blusa anudada blanca y palo de rosa.tif                                                                            blusa anudada blanca y palo de rosa2.tif,,Talla,"S, M , L",Color,Blanco - Palo de Rosa,1,1,
610185,variable,,,BLUSA ANUDADA - L,1,1,visible,,,taxable,parent,1,1,3,-,0.20,Talla L:  Busto 100 / Cintura 92 ,,,-,355000,Tékapo,,,blusa anudada blanca y palo de rosa.tif                                                                            blusa anudada blanca y palo de rosa2.tif,,Talla,L,Color,Blanco - Palo de Rosa,,1,L Blanco                                                   L Palo de Rosa
610185,variable,,,BLUSA ANUDADA - M,1,1,visible,,,taxable,parent,1,1,4,-,0.20,Talla M:  Busto 96 / Cintura 88 ,,,-,355000,Tékapo,,,blusa anudada blanca y palo de rosa.tif                                                                            blusa anudada blanca y palo de rosa2.tif,,Talla,M,Color,Blanco - Palo de Rosa,,1,M Blanco                                                  M Palo de Rosa
610185,variable,,,BLUSA ANUDADA - S,1,1,visible,,,taxable,parent,1,0,3,-,0.20,Talla S: Busto 92 / Cintura 84,,,-,355000,Tékapo,,,blusa anudada blanca y palo de rosa.tif                                                                            blusa anudada blanca y palo de rosa2.tif,,Talla,S,Color,Blanco - Palo de Rosa,,1,S Blanco                                                 S Palo de Rosa
620275,variable,,,FALDA MIDI EN JACQUARD,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.",Falda midi en Jacquard. Talle alto. Ruedo asimétrico con volante. Cierre mediante cremallera semi-invisible en costado.,taxable,parent,1,(color taupe),(color rosa),,0.35,,,,-,485000,Tékapo,,Envío Growbeats,falda midi en jacquard taupe y rosa.tif                                                                            falda midi en jacquard taupe y rosa2.tif                                                               falda midi en jacquard taupe y rosa3.tif,,Talla,"S, M , L, XL, XXL",Color,Taupe - Rosa,1,1,
620275,variable,,,FALDA MIDI EN JACQUARD - S,1,1,visible,,,taxable,parent,1,0,2,-,0.35,Talla S: Cintura 68 / Largo frente 77,,,-,485000,Tékapo,,,falda midi en jacquard taupe y rosa.tif                                                                            falda midi en jacquard taupe y rosa2.tif                                                               falda midi en jacquard taupe y rosa3.tif,,Talla,S,Color,Taupe - Rosa,,1,S Taupe                                          S Rosa
620275,variable,,,FALDA MIDI EN JACQUARD - M,1,1,visible,,,taxable,parent,1,1,6,-,0.35,Talla M: Cintura 72 / Largo frente 77,,,-,485000,Tékapo,,,falda midi en jacquard taupe y rosa.tif                                                                            falda midi en jacquard taupe y rosa2.tif                                                               falda midi en jacquard taupe y rosa3.tif,,Talla,M,Color,Taupe - Rosa,,1,M Taupe                                  M Rosa
620275,variable,,,FALDA MIDI EN JACQUARD - L,1,1,visible,,,taxable,parent,1,2,6,-,0.35,Talla L: Cintura 76 / Largo frente 77,,,-,485000,Tékapo,,,falda midi en jacquard taupe y rosa.tif                                                                            falda midi en jacquard taupe y rosa2.tif                                                               falda midi en jacquard taupe y rosa3.tif,,Talla,L,Color,Taupe - Rosa,,1,L Taupe                                       L Rosa
620275,variable,,,FALDA MIDI EN JACQUARD - XL,1,1,visible,,,taxable,parent,1,1,4,-,0.35,Talla XL: Cintura 80 / Largo frente 77,,,-,485000,Tékapo,,,falda midi en jacquard taupe y rosa.tif                                                                            falda midi en jacquard taupe y rosa2.tif                                                               falda midi en jacquard taupe y rosa3.tif,,Talla,XL,Color,Taupe - Rosa,,1,XL Taupe                                      XL Rosa
620275,variable,,,FALDA MIDI EN JACQUARD - XXL,1,1,visible,,,taxable,parent,1,1,2,-,0.35,Talla XXL: Cintura 84 / Largo frente 77,,,-,485000,Tékapo,,,falda midi en jacquard taupe y rosa.tif                                                                            falda midi en jacquard taupe y rosa2.tif                                                               falda midi en jacquard taupe y rosa3.tif,,Talla,XXL,Color,Taupe - Rosa,,1,XXLTaupe                                    XXLRosa
